E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
42,1.49112068127544000000,1.48551072768039000000,1.46886889245839000000,1.43719897573288000000,1.37779516075930000000,1.26203815577344000000
44,1.52742184058600000000,1.52410355134577000000,1.50447259186252000000,1.46985545546718000000,1.40494612471935000000,1.28678905920870000000
46,1.56109370447216000000,1.56095971551360000000,1.54063024955174000000,1.50215439419998000000,1.43502527542077000000,1.31047591189368000000
48,1.59417128833694000000,1.58868230353344000000,1.56714386199260000000,1.52923633535263000000,1.45882965656121000000,1.32995439297666000000
50,1.62353616767183000000,1.61693631039675000000,1.59634530871810000000,1.55612125445664000000,1.48299992042146000000,1.35027133385297000000
52,1.64982811982785000000,1.64329965093180000000,1.62102019029883000000,1.58051169009194000000,1.50619501998949000000,1.37143653533397000000
54,1.67014596589878000000,1.66256618007480000000,1.64286091240888000000,1.59884383599579000000,1.52392793268206000000,1.38757080552043000000
56,1.68749283169777000000,1.68137133412209000000,1.65575026051706000000,1.61829333243159000000,1.53771123911711000000,1.39951403774432000000
58,1.70366999559762000000,1.69543167914932000000,1.67189363215419000000,1.62942841358016000000,1.55225536362486000000,1.41457061172366000000
60,1.71697229488607000000,1.70967767016005000000,1.68786393660437000000,1.64392786278881000000,1.56543849646801000000,1.42848693360685000000
65,1.73632974737448000000,1.72959126434819000000,1.70802811866406000000,1.66024161195616000000,1.58698885675015000000,1.45056906682957000000
70,1.74317794225530000000,1.73255952806834000000,1.70984596659557000000,1.66716134797646000000,1.59681129348171000000,1.46445042029515000000
75,1.74103238872869000000,1.73134280645868000000,1.71141387838560000000,1.67169346312272000000,1.60081495976566000000,1.47806516098021000000
80,1.73223297131876000000,1.72718176056711000000,1.70405253238851000000,1.66689954804414000000,1.60333522749644000000,1.48328994589911000000
85,1.71832455660420000000,1.71143748423304000000,1.69479372600274000000,1.65882790362002000000,1.59726776898408000000,1.48279233008661000000
90,1.70282928342254000000,1.69442746565600000000,1.67908501582145000000,1.64813548312607000000,1.58865394898443000000,1.48258956909171000000
95,1.68644202753045000000,1.68134301023368000000,1.66158431820867000000,1.63493036415734000000,1.57955671845434000000,1.48240240600223000000
100,1.66872178400297000000,1.66154452013265000000,1.64811344963696000000,1.62108617253293000000,1.57167555259287000000,1.47712699968644000000
110,1.63557688965626000000,1.62905042234420000000,1.61845149327219000000,1.59653655021692000000,1.55458921308639000000,1.46984320301568000000
120,1.60386370198097000000,1.59809942979640000000,1.59075469032936000000,1.57308101334549000000,1.53579290023536000000,1.46212088726480000000
130,1.57266356798898000000,1.56996490969021000000,1.56309473487907000000,1.54888613951846000000,1.51719694315820000000,1.45362538366804000000
140,1.54587731786831000000,1.54203877966184000000,1.53752673235357000000,1.52505422649234000000,1.49816804664294000000,1.43674814945458000000
150,1.51786612740357000000,1.51809063479656000000,1.51317343995277000000,1.50334459202489000000,1.48198249739922000000,1.43302435112545000000
160,1.49963822150353000000,1.49902487175789000000,1.49442356243325000000,1.48983450531177000000,1.47064422991603000000,1.42344916518928000000
170,1.48024217043902000000,1.47828223591047000000,1.47756920030298000000,1.47392825811872000000,1.45764919907115000000,1.41738661991088000000
180,1.46293071653914000000,1.46160120295858000000,1.46008398545089000000,1.46010267979023000000,1.44840178408795000000,1.41100766083395000000
190,1.44667513709405000000,1.44797362282312000000,1.44643858696067000000,1.44532076883257000000,1.43512461746027000000,1.40491118990100000000
200,1.43359636094817000000,1.43251891900675000000,1.43361312345528000000,1.43240480620887000000,1.42761623666984000000,1.39920193524909000000
225,1.40317935865930000000,1.40041995068278000000,1.40404204407964000000,1.40509286316837000000,1.40605097991281000000,1.38555836070794000000
240,1.38806851238615000000,1.38624293139263000000,1.38834504377554000000,1.39433960556183000000,1.39707189451223000000,1.37908547645052000000
250,1.37874498829237000000,1.37639906179556000000,1.37882099137001000000,1.38439047583264000000,1.38935771679449000000,1.37496879029459000000
275,1.35280632057493000000,1.35374115673027000000,1.35638069247952000000,1.36613894494646000000,1.37207473124400000000,1.36325457901314000000
