E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy
375,1.24749935256328000000,1.24869596967517000000,1.25249392833466000000,1.25764458459889000000,1.26123443593457000000,1.24370139390380000000,1.12357144123599000000
400,1.23821391236308000000,1.23947680118002000000,1.24355690351167000000,1.24919133054109000000,1.25380573198761000000,1.23729103207377000000,1.12222243179180000000
425,1.22881646427730000000,1.23050308404872000000,1.23460567268191000000,1.24044046540467000000,1.24550032471894000000,1.23100451154833000000,1.12064487731547000000
450,1.22182529498886000000,1.22289959711578000000,1.22702491728315000000,1.23235345583268000000,1.23832657565835000000,1.22590764307116000000,1.11903606748514000000
500,1.20943179810226000000,1.21074505439810000000,1.21460757291529000000,1.22098072846865000000,1.22654275513340000000,1.21638433143320000000,1.11692447961558000000
511,1.20693783323818000000,1.20773154803159000000,1.21196469359645000000,1.21786086063322000000,1.22432396680814000000,1.21400567449379000000,1.11626536707658000000
550,1.19798880640495000000,1.19900825167581000000,1.20294541961845000000,1.20958939052167000000,1.21545998915043000000,1.20709350727231000000,1.11365607520493000000
600,1.18921533011104000000,1.19063744987309000000,1.19438667470031000000,1.20055996730376000000,1.20744431978823000000,1.20017211645957000000,1.11222693753822000000
662,1.17948649576553000000,1.18042926004340000000,1.18414139438751000000,1.19006313250788000000,1.19766416949820000000,1.19141835615731000000,1.10904432737848000000
700,1.17572850678266000000,1.17676404570887000000,1.18054236341259000000,1.18636377143018000000,1.19361254391361000000,1.18863076205241000000,1.10945401550552000000
800,1.16532929073224000000,1.16639676036501000000,1.16982259313995000000,1.17550748955633000000,1.18273152823391000000,1.17928087058379000000,1.10701565893279000000
900,1.15572969908740000000,1.15671581657809000000,1.16016722779550000000,1.16532193286046000000,1.17215752001183000000,1.16996116741893000000,1.10375682497586000000
1000,1.14952807446352000000,1.15051261067746000000,1.15336366346367000000,1.15859401210025000000,1.16501400866200000000,1.16325004794536000000,1.10231135853648000000
1117,1.14200124401783000000,1.14301340721604000000,1.14563753402619000000,1.15041719357327000000,1.15656514781421000000,1.15555298461600000000,1.09913425819761000000
1173,1.13944343527715000000,1.14029077937161000000,1.14292295464376000000,1.14737601828911000000,1.15350574152562000000,1.15314516957053000000,1.09797766044190000000
1250,1.13682691453611000000,1.13770177944899000000,1.14006906097796000000,1.14422038076063000000,1.15015573879702000000,1.14981265451746000000,1.09720068024693000000
1332,1.13363697777362000000,1.13432325805074000000,1.13672523902069000000,1.14074488064386000000,1.14644754294665000000,1.14646388295325000000,1.09643078274939000000
1500,1.12826298655492000000,1.12895079679627000000,1.13114879908928000000,1.13463270748569000000,1.14031461817510000000,1.14000061784752000000,1.09438085597017000000
1700,1.12309114073173000000,1.12365074814958000000,1.12575268820685000000,1.12893289621558000000,1.13399666089901000000,1.13407855466748000000,1.09244922236434000000
1750,1.12192294523497000000,1.12245765894819000000,1.12442273184428000000,1.12761764628076000000,1.13229639127144000000,1.13276426577050000000,1.09200571298033000000
2000,1.11790263741852000000,1.11832830123459000000,1.11989717644240000000,1.12253629210206000000,1.12664698838299000000,1.12749831601514000000,1.09011287114058000000
2400,1.11107831834206000000,1.11161439781632000000,1.11290098855453000000,1.11493809055670000000,1.11826178329708000000,1.11858343098164000000,1.08620423073660000000
2500,1.11022068929245000000,1.11063775191051000000,1.11188893976471000000,1.11397425285504000000,1.11689369118151000000,1.11720648814506000000,1.08571826048105000000
3000,1.10398990741825000000,1.10435836462556000000,1.10518739334202000000,1.10675333647311000000,1.10896407971700000000,1.10896407971700000000,1.08096133196104000000
3500,1.09853734804629000000,1.09878618616500000000,1.09953270052112000000,1.10052805299594000000,1.10226991982688000000,1.10185518962904000000,1.07589307924407000000
4000,1.09483706895926000000,1.09506418216676000000,1.09566981738676000000,1.09642686141177000000,1.09756242744927000000,1.09657827021677000000,1.07235286141667000000
4440,1.09067238174875000000,1.09081327728960000000,1.09123596391216000000,1.09172909830515000000,1.09264491932070000000,1.09130641168259000000,1.06805864744173000000
5000,1.08769250367922000000,1.08782215294362000000,1.08814627610462000000,1.08840557463342000000,1.08892417169102000000,1.08736838051822000000,1.06493905777712000000
6000,1.08084729547016000000,1.08096096118637000000,1.08101779404448000000,1.08096096118637000000,1.08090412832826000000,1.07857398114589000000,1.05834148365997000000
6129,1.08000936736836000000,1.08012126224687000000,1.08017720968612000000,1.08000936736836000000,1.07995341992910000000,1.07771552235892000000,1.05757444422731000000
7000,1.07462943590497000000,1.07473069662920000000,1.07468006626708000000,1.07427502337016000000,1.07381935011112000000,1.07128783200533000000,1.05189640331503000000
8000,1.06969557211381000000,1.06969557211381000000,1.06960427779170000000,1.06901086469801000000,1.06828051012117000000,1.06526779749167000000,1.04668940294314000000
9000,1.06467746677039000000,1.06467746677039000000,1.06451131211911000000,1.06384669351397000000,1.06280822694344000000,1.05960974990621000000,1.04137427692769000000
10000,1.06075856134622000000,1.06075856134622000000,1.06053003987955000000,1.05976830165734000000,1.05854952050179000000,1.05504552467960000000,1.03718276336865000000
12500,1.05133173458846000000,1.05133173458846000000,1.05098583971856000000,1.05004249007336000000,1.04853313064103000000,1.04463395210754000000,1.02749643355305000000
15000,1.04403479324886000000,1.04400812092448000000,1.04360803605877000000,1.04248779843476000000,1.04083411432313000000,1.03653987009778000000,1.01970963341331000000
17500,1.03760763308437000000,1.03756149771018000000,1.03710014396834000000,1.03592369192665000000,1.03417054770766000000,1.02964928103763000000,1.01267146333794000000
20000,1.03290797866282000000,1.03284719195635000000,1.03238116054004000000,1.03112490193955000000,1.02922025180332000000,1.02458019987571000000,1.00778280665306000000
25000,1.02507870269279000000,1.02501394008778000000,1.02452822055023000000,1.02321677779885000000,1.02114437443865000000,1.01628717906317000000,0.99949747371525400000
30000,1.01955653554001000000,1.01948954143177000000,1.01896698738756000000,1.01762710522292000000,1.01545649611621000000,1.01045873564210000000,0.99348242861610000000
35000,1.01358348848544000000,1.01351522374501000000,1.01298048327829000000,1.01159243355616000000,1.00937382949210000000,1.00426535141640000000,0.98725605359196400000
40000,1.01214329131603000000,1.01204477629839000000,1.01155220121015000000,1.01007447594543000000,1.00780863053952000000,1.00258733460417000000,0.98534720651576600000
45000,1.00808693030220000000,1.00800031745485000000,1.00748064037076000000,1.00600822196581000000,1.00375628793472000000,0.99838629139904700000,0.98106372192912300000
50000,1.00703019271447000000,1.00695307883188000000,1.00633616777118000000,1.00494811788460000000,1.00255758752437000000,0.99715961574322500000,0.97965476439578800000
