E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
140,1.49083932809602000000,1.48996311237304000000,1.48539427324606000000,1.47458761266261000000,1.44677819459748000000,1.36345425179770000000,1.06489417533106000000,0.09207358266213690000
150,1.46707274718297000000,1.46611665066099000000,1.46273206897319000000,1.45393598097100000000,1.42940254421706000000,1.35165277504986000000,1.06272040610829000000,0.09477593603057350000
160,1.44902893397459000000,1.44830494925252000000,1.44581514813516000000,1.43875188255400000000,1.41712063171171000000,1.34413944009439000000,1.06332165875150000000,0.09769555788578860000
170,1.43059176590137000000,1.43029692011285000000,1.42860974698965000000,1.42310595893727000000,1.40412116622087000000,1.33561866135461000000,1.06296820858109000000,0.10054896601411800000
180,1.41409396476973000000,1.41410922389832000000,1.41319367618287000000,1.40899741582039000000,1.39234970652779000000,1.32784936997434000000,1.06266097419424000000,0.10353318748880600000
190,1.39967514234653000000,1.39960378932493000000,1.39924702421692000000,1.39627873851828000000,1.38169418090286000000,1.32085859468511000000,1.06247503286043000000,0.10629031509900400000
200,1.38651964843357000000,1.38651964843357000000,1.38665359874257000000,1.38464434410761000000,1.37191906475284000000,1.31446777722379000000,1.06241348078312000000,0.10911056369703900000
225,1.35709524429275000000,1.35721143395408000000,1.35848952022867000000,1.35872189955132000000,1.35000767495184000000,1.29981374125882000000,1.06265902352544000000,0.11673575273466900000
240,1.34212406229896000000,1.34298481205833000000,1.34481390529699000000,1.34599743621613000000,1.33932662558100000000,1.29284613857498000000,1.06341329021468000000,0.12117204737542800000
250,1.33384430930737000000,1.33445950385390000000,1.33661268476677000000,1.33845826840636000000,1.33292151748757000000,1.28862751013721000000,1.06387643580392000000,0.12422828542984100000
275,1.31260985723358000000,1.31334387644635000000,1.31618820089583000000,1.31930778255009000000,1.31627995329742000000,1.27728518261909000000,1.06396084890819000000,0.13197665445580700000
300,1.29530093375134000000,1.29613152107661000000,1.29945387037767000000,1.30360680700400000000,1.30261010221368000000,1.26797461075011000000,1.06448071606010000000,0.13963834112361400000
325,1.28090697308307000000,1.28181827228725000000,1.28538752750365000000,1.29024778992597000000,1.29100720592946000000,1.26002303298715000000,1.06546065289355000000,0.14697737331505100000
350,1.26730647640330000000,1.26842643794003000000,1.27220630812649000000,1.27780611581013000000,1.27997604128754000000,1.25225699325353000000,1.06585339498443000000,0.15428170144382900000
375,1.25627971474913000000,1.25725417931223000000,1.26128196617305000000,1.26732364646427000000,1.27057186167460000000,1.24575549746764000000,1.06651898216136000000,0.16155972813163800000
400,1.24644220832486000000,1.24771588290881000000,1.25190081368466000000,1.25826918660442000000,1.26251476855093000000,1.24007383540509000000,1.06733930135277000000,0.16895596611992400000
425,1.23709355410206000000,1.23828886856953000000,1.24250092907397000000,1.24921745798646000000,1.25428331453910000000,1.23407680806509000000,1.06758657866652000000,0.17596736553356500000
450,1.22903469029250000000,1.23021516456390000000,1.23450779827808000000,1.24142967014220000000,1.24717106773493000000,1.22892737444964000000,1.06806092601057000000,0.18273741721284100000
500,1.21578388599844000000,1.21718255835222000000,1.22147503557587000000,1.22866131766940000000,1.23541352903246000000,1.22046220387141000000,1.06935735958257000000,0.19592505871514900000
511,1.21271324820032000000,1.21422347640480000000,1.21856538249269000000,1.22573896646399000000,1.23267657727834000000,1.21837660396713000000,1.06947754193133000000,0.19861860620528700000
550,1.20372782487621000000,1.20486909036309000000,1.20917078335211000000,1.21645732453759000000,1.22396333985516000000,1.21162889363155000000,1.06940965603541000000,0.20893937375235200000
600,1.19455995537642000000,1.19589177329350000000,1.20016973387561000000,1.20747455336016000000,1.21538474462519000000,1.20525485683170000000,1.07037802413911000000,0.22103334449155700000
662,1.18400645973882000000,1.18522044803061000000,1.18941422576590000000,1.19662458046867000000,1.20490177336727000000,1.19688209313663000000,1.07018586050216000000,0.23530403972121800000
700,1.17992160070148000000,1.18124959349912000000,1.18540830778646000000,1.19253753227904000000,1.20095980239038000000,1.19404026097111000000,1.07186492358840000000,0.24454987368506200000
800,1.16890578342275000000,1.17023869993306000000,1.17417545334723000000,1.18108802036580000000,1.18964348447847000000,1.18496277766320000000,1.07278080438873000000,0.26595404147636400000
900,1.15888174494969000000,1.16016904929558000000,1.16389103794783000000,1.17049546893979000000,1.17900287157351000000,1.17598050484837000000,1.07238048988124000000,0.28620133794403700000
1000,1.15224336545672000000,1.15339589055053000000,1.15693030083823000000,1.16320515968232000000,1.17152895202652000000,1.16965930020767000000,1.07300086233989000000,0.30477885814165600000
