Operational quantity,H10,H100,H150,H20,H200,H250,H280,H30,H300,H350,H40,H400,H60,H80,L10,L100,L125,L170,L20,L210,L240,L30,L35,L55,L70,N10,N100,N120,N15,N150,N20,N200,N25,N250,N30,N300,N350,N40,N400,N60,N80,W110,W150,W200,W250,W30,W300,W40,W60,W80
"Hp(0.07, slab) 15º",0.8935963433226403,1.5761362701610564,1.6605145965010153,0.9572084860710568,1.621010207034373,1.5631952355272605,1.5139141470486612,1.0181699065573135,1.514464738978831,1.4684163044099996,1.09387408647228,1.4341646321861918,1.31263503890639,1.4833705735111875,0.9301682992307422,1.7028633556355262,1.6310753384488712,1.521773693659031,1.0124567539829157,1.4544560217104037,1.4157831337204194,1.1569543686947303,1.2312052270251757,1.5688633683508495,1.7008528632389637,0.9162806114700556,1.7094977122407784,1.6583085111278622,0.9643994734066896,1.600995941161375,0.9993479974761782,1.488415149619038,1.0465382911995336,1.4211452595129297,1.1135503797990485,1.3755712959741269,1.3424143071363217,1.282572205982789,1.3164024799231648,1.552193981131344,1.7120452795474117,1.704088873573093,1.6349278929316573,1.5433519572415624,1.471454239740203,1.0800694037898209,1.4221437546911997,1.1949669278414323,1.487785859900122,1.6301014270290024
"Hp(0.07, slab) 30º",0.884110996532832,1.5579882983949616,1.6430711514777077,0.9537545083508762,1.6084939521189032,1.5553229164026017,1.5095495979260285,1.0160245699873154,1.5098064776149052,1.4665003984579923,1.0906004944945349,1.433943538415291,1.3025909055618592,1.4677234473614489,0.92466237268784,1.6846438633141614,1.6202821229855102,1.5169754349121096,1.011156135475014,1.4536012965219811,1.4180586366903032,1.152153953142699,1.2245117433354522,1.5491189946514523,1.6788393430739683,0.909241528334519,1.6905418566965391,1.6446360123151196,0.9619562674059896,1.5921742118501367,0.9979214655175972,1.4856208794171917,1.0446992681838914,1.4227733918375112,1.1099889439073558,1.378236334779155,1.3464986464481443,1.2741696238351696,1.3204523849886374,1.5332756835933037,1.6901310471365634,1.68478628678336,1.622964711991479,1.537570003395932,1.4699788118854835,1.0773614293175788,1.4230262059551155,1.1891362632118072,1.4713652702171576,1.6097070476596411
"Hp(0.07, slab) 45º",0.8638938786658346,1.52250558841135,1.6093807193195313,0.9461555555518438,1.5841758660411394,1.539493832307241,1.5003203999222317,1.0101947966508755,1.5001800448080025,1.4622714801298131,1.0819010940901523,1.4333107635315216,1.2811391024621912,1.436303543564918,0.9130749887080214,1.65162497249943,1.5980492854568118,1.5079236893342265,1.0067541916849645,1.4519720036625454,1.418423682599557,1.1407416658688112,1.208317624407962,1.511760778664856,1.634581286596895,0.8942496405589501,1.655500012207738,1.6185208264141502,0.9563542872098694,1.5735522965737094,0.99360691241005,1.4809255764889366,1.0387657329799922,1.423187038859654,1.1007686704117057,1.3842684963101188,1.3550359641037515,1.2546007665792998,1.3307690278219102,1.4973789815717231,1.6470146403575372,1.6483549142937066,1.5991907425830774,1.5260113476704242,1.4659468188274596,1.0697851607948263,1.424053042696463,1.1749863730327943,1.4391881190243354,1.5700618531326491
"Hp(0.07, slab) 60º",0.8192498645054362,1.4591811813755429,1.5487037464677107,0.9280492817754816,1.5378339591990988,1.5069166461525498,1.4785009280371826,0.9974619412892448,1.477842057481359,1.449032319051606,1.0645394156969794,1.426398460386093,1.2408357619192008,1.379391281856542,0.8857468815489236,1.5910745701841558,1.5548018503635312,1.4849865897797907,0.9970689417342404,1.441547709691569,1.416346125244677,1.1179386897540324,1.1769613885696542,1.4438540397955384,1.5592476868252862,0.8600329271504057,1.5927929090556692,1.5692387851651264,0.9428685272811002,1.5357218323376922,0.9837373374393312,1.4638080029640967,1.0269050723601272,1.419834111044464,1.082549356744487,1.3882597418453777,1.3646007655614762,1.2173183427090843,1.344141710153557,1.431369112441011,1.573722578689075,1.5840877783411371,1.553612262810159,1.4988229190493716,1.452621684130697,1.0546892632056248,1.4198882648169728,1.147622665135433,1.379839226879063,1.5001052739310097
"Hp(0.07, slab) 75º",0.6937731671704656,1.3420080890160104,1.4364572442801906,0.8735203510092677,1.44845918592841,1.438657824173272,1.426514388802626,0.9638098600038482,1.4249128483743856,1.4096199977592911,1.0253303027653613,1.3964178121818742,1.1613255057009355,1.2722645997895805,0.8030798717613042,1.4812089392075347,1.469982781081226,1.4324804619894749,0.9718982134747156,1.4076712551994772,1.3919837622353597,1.0689702310777212,1.1119410279356576,1.3185372389008578,1.4231000565438543,0.7591574538243109,1.4786315949061613,1.4753623810872412,0.9016090322646352,1.4601510588152502,0.9567440251290036,1.420474303130386,0.9981290976134086,1.3940556277150429,1.0424852378966702,1.3738582104124415,1.358256469532944,1.141814356894988,1.3450606359172284,1.3093795445196326,1.440752990941457,1.4665810930133645,1.4658086751726884,1.4398079910319104,1.4135933761355064,1.020213272311148,1.393697982098281,1.090449751809074,1.2681501137022624,1.3722507435328817
"Hp(10, slab) 0º",0.0004446137844961,1.6875485879399117,1.8182328307263451,0.0846576561255795,1.7597431341592114,1.6770955956164209,1.6075997987380977,0.3839799993541137,1.609204026340234,1.5461662849514008,0.6886134056625821,1.5002045668025208,1.233737436891048,1.5380298434594524,0.0017564909055894,1.874435175834694,1.7684725951191662,1.6152977091767016,0.3925751485457274,1.5246176317456606,1.4732831277774696,0.9443029373114972,1.110614314237616,1.6896624733765249,1.884963602061408,0.0008949089749337,1.885472165976188,1.8082441888507037,0.0770133616846671,1.7260832549308132,0.3015220506154135,1.5705340362034357,0.5643652481671338,1.4805039010919,0.8129019143526787,1.4213195946745991,1.3794165802883,1.207737282715459,1.3459284324719931,1.6619351204546433,1.8989441654375097,1.8803628210318168,1.7756466608075718,1.646228000458597,1.5480720775976693,0.6873089012473058,1.482435547751,1.0094223346186773,1.5569460429808628,1.7776412678454092
"Hp(10, slab) 15º",0.0003581470306438,1.6722423176200236,1.80305987895257,0.0800172500601895,1.7465490193239366,1.6662977385906046,1.598694884800801,0.3727573620395072,1.600265105892156,1.538896864665864,0.6750448982082441,1.4940678487136552,1.219994590454334,1.5233852672328303,0.0014287173749521,1.8588171595248733,1.755115305451408,1.6057192890305338,0.3791113198263918,1.51772238293567,1.469399714201111,0.9302175366677978,1.0973426017988002,1.6750832782225364,1.8670039679949169,0.0007236476330263,1.869821734081602,1.7940339450615002,0.0711700889734005,1.713993013976865,0.2894676709552882,1.5617243104761078,0.5502250951243679,1.4759333104931756,0.7985023774240039,1.417433891090837,1.3763395241655427,1.1946469570393343,1.34309235310523,1.647025006489102,1.882315640470325,1.8645526874902132,1.7623306200354358,1.6358413250201556,1.5408141692000823,0.6730496271635406,1.4770648871139291,0.9957209904493868,1.542752631452066,1.761649285534394
"Hp(10, slab) 30º",0.0001782720416137,1.6219201724838426,1.7558611167052671,0.0664309700269255,1.707759392384529,1.6352814892344452,1.5738714691571334,0.3383378304086273,1.5751412028196845,1.5189049103801788,0.6328071492169203,1.4775458955363838,1.1748003795949944,1.4747077396630135,0.0007359974834793,1.8119804239878063,1.7175856745377307,1.580936855867529,0.3362300548527867,1.4987153062398086,1.4553065043514162,0.8882776924251686,1.0548610189924028,1.624111145417509,1.81315648718674,0.0003651696241209,1.821560195549196,1.7525069320017446,0.0546578672341953,1.6800156290004769,0.2519729821836977,1.540199354410864,0.5058371276130876,1.4611437591253522,0.7551479702762253,1.4075914766733142,1.3687158230722094,1.1513852039859347,1.3371389375994989,1.5965054977821589,1.8283634516852836,1.8151977470507787,1.7236992469238503,1.6083319020733893,1.5207877910764325,0.6292618573869365,1.462300871890395,0.9526507192508532,1.494043752453467,1.7093237744853118
"Hp(10, slab) 45º",4.354427169338673e-05,1.5174743019486654,1.6590002203581904,0.0455791352194785,1.6265026749349902,1.568471689462282,1.5181833284010515,0.2759391318652821,1.5189081109964866,1.472213385777314,0.5498580462376633,1.4375648356415105,1.079520550070139,1.3725351413620073,0.0001891530162694,1.71642938868415,1.6402765189862492,1.5235824771230833,0.2593896813246062,1.456927481242804,1.4185086850538196,0.7980311439826695,0.9645046592419424,1.5162884637629075,1.7009553177321697,9.10100862651006e-05,1.7231586598923554,1.6692982157571086,0.0315644403053277,1.6077044718731628,0.1875628816398118,1.490508552646526,0.4209529163789791,1.4237199993503091,0.6655452534005765,1.3786038929554996,1.346355031950652,1.059366456983711,1.3193530021688358,1.4902638503125567,1.7173064308712047,1.7148689833573894,1.6433246928917826,1.5473402227661377,1.4740890118199206,0.5422068878817096,1.4247909377546502,0.8620787625588814,1.3912999808542896,1.6005626394283097
"Hp(10, slab) 60º",3.890780499943383e-06,1.3153889668032053,1.4689367193679712,0.0215608104238084,1.462375793175427,1.4278707358655265,1.3959778032935828,0.1815475399511886,1.3958815579237904,1.3650504974235924,0.408163144749444,1.3417902972883766,0.8967725117098297,1.174811577476054,1.6992793389839035e-05,1.528937872928125,1.4809614506667683,1.4003571296575494,0.1476879418700384,1.353729250803422,1.3280194428601968,0.6292501968834981,0.7889629951603279,1.3079443819678795,1.485863071207379,8.141946517496205e-06,1.5314329079660418,1.4995297975707464,0.0101680315299671,1.458557593154714,0.1002495181224718,1.377386813536997,0.2820512086827804,1.3315389432971605,0.503426940478278,1.3016872754546966,1.280348266324019,0.8791816310609731,1.262522589424839,1.2840943378472425,1.5059882346550153,1.5197834319380663,1.4806147988081455,1.4167462210441428,1.3661645101585267,0.3922349173989045,1.3326574553414885,0.6909084748431445,1.1914195711698394,1.3912215520219722
