E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
30,1.21424045511816000000,1.21217520906298000000,1.20601052722910000000,1.19388302971712000000,1.17164669625084000000,1.12992251466991000000,0.91964009302161000000,0.00030241102950823800
32,1.25215730440193000000,1.25025178242930000000,1.24307078758801000000,1.22913224723268000000,1.20421931181277000000,1.15832799097199000000,0.95226696209867600000,0.00073025600856559100
34,1.28933317087991000000,1.28693726650032000000,1.27883871368008000000,1.26325543478148000000,1.23579163829818000000,1.18621027824468000000,0.98279601633192400000,0.00147979766862534000
36,1.32429376558213000000,1.32143812191889000000,1.31240989464511000000,1.29514423372737000000,1.26515997526337000000,1.21200107014769000000,1.01019492911558000000,0.00264256871298174000
38,1.35958644011245000000,1.35616306437886000000,1.34610991169640000000,1.32730545344146000000,1.29497625021084000000,1.23861109200563000000,1.03749982179695000000,0.00409430916081740000
40,1.39310892952105000000,1.38959871729195000000,1.37854416833164000000,1.35837354582114000000,1.32400490071233000000,1.26488140070426000000,1.06398723962235000000,0.00605144870928823000
42,1.42406235164017000000,1.42025364220457000000,1.40840432396048000000,1.38699091313365000000,1.35096334313911000000,1.28951616424474000000,1.08889592130724000000,0.00838762455706917000
44,1.45392248011495000000,1.44943478617554000000,1.43696562314926000000,1.41446691594967000000,1.37684859561193000000,1.31356909919112000000,1.11309869072997000000,0.01109484440577430000
46,1.48079898719030000000,1.47649396816905000000,1.46351513304573000000,1.44007669615227000000,1.40123585787167000000,1.33643734934444000000,1.13614235325213000000,0.01403850758314210000
48,1.50419981212080000000,1.49981097129520000000,1.48630942280117000000,1.46222105216295000000,1.42235295611360000000,1.35638633332270000000,1.15640930364323000000,0.01707225578556990000
50,1.52685731103593000000,1.52203521498771000000,1.50819789589283000000,1.48349338932695000000,1.44285500016697000000,1.37607945271663000000,1.17652155031536000000,0.02023987459427280000
52,1.54666811551737000000,1.54182234681315000000,1.52768282768368000000,1.50269457264926000000,1.46179483828755000000,1.39482197530092000000,1.19618162088107000000,0.02354428828547790000
54,1.56164790933037000000,1.55666337262773000000,1.54241652518660000000,1.51734504953302000000,1.47642721092925000000,1.40958234186473000000,1.21243275586476000000,0.02680304418722310000
56,1.57274749593277000000,1.56806703956831000000,1.55391151300261000000,1.52891102656802000000,1.48827096642778000000,1.42186937003760000000,1.22627956749001000000,0.03023612863935600000
58,1.58433289512027000000,1.57972389853005000000,1.56574198450428000000,1.54087664155539000000,1.50051887309318000000,1.43486971998046000000,1.24090455255362000000,0.03342800653010320000
60,1.59549050880551000000,1.59078161628339000000,1.57692962411417000000,1.55224717914409000000,1.51249627810324000000,1.44767052438212000000,1.25535150562476000000,0.03650137279288220000
65,1.60704967901374000000,1.60284326209458000000,1.58947003094591000000,1.56609663881960000000,1.52847698561800000000,1.46692837579134000000,1.28037775374419000000,0.04346498539209700000
