E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy
34,1.28545132723106000000,1.27430241982508000000,1.22823599526419000000,1.13614130159589000000,0.95319191761731400000,0.56494230215707200000
36,1.35943184871080000000,1.34712025170532000000,1.30390690794711000000,1.20943569557296000000,1.02108220023270000000,0.62142927629913800000
38,1.43304827059891000000,1.41779344913470000000,1.37364100301680000000,1.27607784481533000000,1.08560420807421000000,0.67443554667783700000
40,1.49976480887322000000,1.48835886974286000000,1.43825681252821000000,1.33805269809891000000,1.14443113566566000000,0.72481271382847300000
42,1.56146845598474000000,1.54960700818695000000,1.50094224761352000000,1.39791415864822000000,1.19825816323723000000,0.77245308419507500000
44,1.62195704261860000000,1.60679599411748000000,1.55820183311064000000,1.45365054402862000000,1.24924777276164000000,0.81478873779609600000
46,1.67646426926026000000,1.66110965964934000000,1.61096981326148000000,1.50266740560467000000,1.29525637868465000000,0.85485894957240200000
48,1.72238287799658000000,1.70893086418387000000,1.65661281112390000000,1.54516588051255000000,1.33474529496865000000,0.89158686070949700000
50,1.76606557963717000000,1.74997379267213000000,1.69765496091079000000,1.58934982102046000000,1.37331926253239000000,0.92329127842606300000
52,1.80088784071947000000,1.78699060495066000000,1.73407403481724000000,1.62129950557794000000,1.40735925390375000000,0.95430418415985100000
54,1.83597040313560000000,1.81688795987699000000,1.76261129703120000000,1.65137176706277000000,1.43542720933463000000,0.97977074081577000000
56,1.85882674717728000000,1.83916993829536000000,1.78654793339938000000,1.67508868097649000000,1.45751654053176000000,1.00254859792533000000
58,1.88235146411066000000,1.86324410831461000000,1.80557589317654000000,1.69706741596238000000,1.47976924053868000000,1.02368055329611000000
60,1.90010945988249000000,1.88327571051476000000,1.82723335324470000000,1.71414042372458000000,1.49690935357665000000,1.04164158920018000000
65,1.92316305570343000000,1.90330226362594000000,1.85145141002364000000,1.73840901588573000000,1.52470949250634000000,1.07616916782588000000
70,1.92601156401752000000,1.91412737860298000000,1.85730831460918000000,1.74563916408671000000,1.53724819991678000000,1.09608741119479000000
75,1.92355388170139000000,1.90637377129357000000,1.85469599918684000000,1.74756083068366000000,1.54569975423067000000,1.11128068317524000000
80,1.90756315504047000000,1.89214366958807000000,1.84309375465758000000,1.74187014972651000000,1.54464663130694000000,1.11751899356523000000
85,1.88693029132035000000,1.87188076280560000000,1.82207702649194000000,1.72642324355917000000,1.53553761366103000000,1.12272844054771000000
90,1.86392500668530000000,1.84742578483941000000,1.80365109662100000000,1.70986978846721000000,1.52594312357325000000,1.12238423476947000000
95,1.83825367886630000000,1.82307251373271000000,1.77944114981825000000,1.69044012063815000000,1.51419575079417000000,1.12005926454606000000
100,1.81404342377760000000,1.79926803808435000000,1.75666292102015000000,1.67227836745503000000,1.50220740509455000000,1.11760266640458000000
110,1.76450234512019000000,1.75190843116477000000,1.71329449238601000000,1.63962835799276000000,1.47980054439460000000,1.11234739875443000000
120,1.72135578111809000000,1.70847623545568000000,1.67758126346740000000,1.60370410140696000000,1.45788416149076000000,1.10578943924265000000
130,1.68212278413755000000,1.67112370713196000000,1.64066270286153000000,1.57350148946540000000,1.43627704690405000000,1.09946060792963000000
140,1.64234316492250000000,1.63358486347849000000,1.60531931091921000000,1.54582482590443000000,1.41396694525604000000,1.08792066131594000000
150,1.61035308396187000000,1.60097450073185000000,1.57589335281476000000,1.51852022404697000000,1.39728606462735000000,1.08520191112419000000
160,1.58347049790346000000,1.57382619707774000000,1.55303521562744000000,1.49999777616280000000,1.38403548701159000000,1.08056763689580000000
170,1.55759797023132000000,1.54857903431852000000,1.52892370387630000000,1.48010610246951000000,1.37165711917415000000,1.07882188916329000000
180,1.53575540542645000000,1.52689460247123000000,1.50789612425304000000,1.46520307022455000000,1.35918586370998000000,1.07510540989795000000
